artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,H_or_N
Ruff Endz,No More,spotify:track:2WfhlEjoUII31H6imnQdvF,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,audio_features,2WfhlEjoUII31H6imnQdvF,spotify:track:2WfhlEjoUII31H6imnQdvF,https://api.spotify.com/v1/tracks/2WfhlEjoUII31H6imnQdvF,https://api.spotify.com/v1/audio-analysis/2WfhlEjoUII31H6imnQdvF,242560,4,N
Britney Spears,Born to Make You Happy,spotify:track:4l1MNtoCiTxBwf6yxD7kFd,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,audio_features,4l1MNtoCiTxBwf6yxD7kFd,spotify:track:4l1MNtoCiTxBwf6yxD7kFd,https://api.spotify.com/v1/tracks/4l1MNtoCiTxBwf6yxD7kFd,https://api.spotify.com/v1/audio-analysis/4l1MNtoCiTxBwf6yxD7kFd,243533,4,N
Montell Jordan,Get It On Tonite,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,0.807,0.498,10,-9.91,0,0.0756,0.259,3.04e-05,0.0618,0.857,99.001,audio_features,0AcLrSfAEBQcUnHOTm5pXg,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/tracks/0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg,277413,4,N
Kylie Minogue,Spinning Around,spotify:track:0JcgDliDqDac8iOFFRm7tZ,0.757,0.731,6,-5.704,0,0.0537,0.283,7.67e-05,0.0917,0.67,120.04,audio_features,0JcgDliDqDac8iOFFRm7tZ,spotify:track:0JcgDliDqDac8iOFFRm7tZ,https://api.spotify.com/v1/tracks/0JcgDliDqDac8iOFFRm7tZ,https://api.spotify.com/v1/audio-analysis/0JcgDliDqDac8iOFFRm7tZ,206627,4,N
JAY-Z,Big Pimpin',spotify:track:7m97yKVzPpXV9Z4ezEziOD,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,audio_features,7m97yKVzPpXV9Z4ezEziOD,spotify:track:7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/tracks/7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/audio-analysis/7m97yKVzPpXV9Z4ezEziOD,283067,4,N
LeAnn Rimes,I Need You,spotify:track:7LQHBl2QcDWc6MqqTirZvW,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,audio_features,7LQHBl2QcDWc6MqqTirZvW,spotify:track:7LQHBl2QcDWc6MqqTirZvW,https://api.spotify.com/v1/tracks/7LQHBl2QcDWc6MqqTirZvW,https://api.spotify.com/v1/audio-analysis/7LQHBl2QcDWc6MqqTirZvW,229827,4,N
Avant,Separated,spotify:track:5S0cvScXb33JVpjTiY9Ivi,0.798,0.48,0,-5.564,1,0.0276,0.247,0.0,0.237,0.643,108.241,audio_features,5S0cvScXb33JVpjTiY9Ivi,spotify:track:5S0cvScXb33JVpjTiY9Ivi,https://api.spotify.com/v1/tracks/5S0cvScXb33JVpjTiY9Ivi,https://api.spotify.com/v1/audio-analysis/5S0cvScXb33JVpjTiY9Ivi,255600,4,N
Enrique Iglesias,Be With You,spotify:track:2N4viTG9njqCa4c46YyWs1,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,audio_features,2N4viTG9njqCa4c46YyWs1,spotify:track:2N4viTG9njqCa4c46YyWs1,https://api.spotify.com/v1/tracks/2N4viTG9njqCa4c46YyWs1,https://api.spotify.com/v1/audio-analysis/2N4viTG9njqCa4c46YyWs1,219360,4,N
Toni Braxton,He Wasn't Man Enough,spotify:track:7f1Dmr246cJ9uQYdbplTbh,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14e-05,0.326,0.766,88.009,audio_features,7f1Dmr246cJ9uQYdbplTbh,spotify:track:7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/tracks/7f1Dmr246cJ9uQYdbplTbh,https://api.spotify.com/v1/audio-analysis/7f1Dmr246cJ9uQYdbplTbh,261933,4,N
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,spotify:track:5jZfGxZDayFA1HzYmyOG3a,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,audio_features,5jZfGxZDayFA1HzYmyOG3a,spotify:track:5jZfGxZDayFA1HzYmyOG3a,https://api.spotify.com/v1/tracks/5jZfGxZDayFA1HzYmyOG3a,https://api.spotify.com/v1/audio-analysis/5jZfGxZDayFA1HzYmyOG3a,175893,4,N
